Round,ID,Contribution,Total Points Sent,Cost,Punishment Received,Punishment Tax Rate,Earnings,Cumulative Earnings,Key
8,31,2,10,2,8,0.8,0.6,24.9,255
8,32,3,10,2,1,0.1,1.8,28.28,256
9,1,3,3,0.6,0,0,3.9,36.22,257
9,2,3,0,0,0,0,4.5,33.8,258
9,3,0,0,0,13,1,0.0,32.94,259
9,4,3,10,2,0,0,2.5,38.06,260
9,5,2,0,0,1,0.1,4.95,42.1,261
9,6,3,0,0,1,0.1,4.05,33.05,262
9,7,2,0,0,1,0.1,4.95,45.53,263
9,8,2,3,0.6,0,0,4.9,37.9,264
9,9,3,0,0,0,0,6.0,51.0,265
9,10,3,0,0,0,0,6.0,48.9,266
9,11,3,0,0,0,0,6.0,45.9,267
9,12,3,0,0,0,0,6.0,49.7,268
9,13,3,1,0.2,1,0.1,3.87,33.87,269
9,14,3,10,2,0,0,2.5,36.25,270
9,15,0,1,0.2,14,1,0.0,28.41,271
9,16,3,3,0.6,0,0,3.9,32.55,272
9,17,3,0,0,13,1,0.0,25.29,273
9,18,3,10,2,3,0.3,2.8,38.85,274
9,19,3,0,0,3,0.3,4.2,32.26,275
9,20,3,9,1.8,0,0,4.2,29.64,276
9,21,3,0,0,3,0.3,4.2,35.0,277
9,22,3,6,1.2,1,0.1,4.32,39.87,278
9,23,3,3,0.6,2,0.2,4.32,41.38,279
9,24,3,0,0,3,0.3,4.2,40.1,280
9,25,2,8,1.6,2,0.2,0.72,29.7,281
9,26,1,0,0,3,0.3,2.45,27.79,282
9,27,0,0,0,3,0.3,3.15,28.33,283
9,28,0,3,0.6,3,0.3,2.73,39.05,284
9,29,2,0,0,17,1,0.0,32.1,285
9,30,3,7,1.4,3,0.3,2.87,30.01,286
9,31,3,10,2,4,0.4,2.1,27.0,287
9,32,3,10,2,3,0.3,2.45,30.73,288
10,1,3,3,0.6,0,0,3.9,40.12,289
10,2,3,0,0,0,0,4.5,38.3,290
10,3,0,0,0,8,0.8,1.5,34.44,291
10,4,3,5,1,0,0,3.5,41.56,292
10,5,2,0,0,1,0.1,4.5,46.6,293
10,6,2,3,0.6,0,0,4.4,37.45,294
10,7,2,0,0,1,0.1,4.5,50.03,295
10,8,2,0,0,1,0.1,4.5,42.4,296
10,9,3,0,0,0,0,6.0,57.0,297
10,10,3,0,0,0,0,6.0,54.9,298
10,11,3,0,0,0,0,6.0,51.9,299
10,12,3,0,0,0,0,6.0,55.7,300
10,13,2,0,0,1,0.1,5.85,39.72,301
